Firm	Acceptable_silence_period	Last_update_date
LeClair Ryan	4	2016-07-11
Leech Tishman Fuscaldo & Lampl, LLC	10	2016-07-07
Lerch Early	10	2016-07-11
Lester Schwab Katz & Dwyer, LLC	10	2016-07-07
Lewis Brisbois Bisgaard & Smith LLP	4	2016-07-11
Lewis Roca Rothgerber Christie LLP	10	2016-07-11
Leydig, Voit & Mayer, Ltd	10	2016-07-07
Lindabury	10	2016-07-07
Lindquist & Vennum PLLP	10	2016-07-07
Linklaters	10	2016-07-11
Littler Mendelson PC	4	2016-07-11
Locke Lord Edwards	4	2016-07-11
Loeb & Loeb LLP	4	2016-07-11
Lorber Greenfield & Polito LLP	10	2016-07-07
Lowenstein Sandler	4	2016-07-11
Manatt, Phelps & Phillips LLP	4	2016-07-11
Marshall Dennehey Warner Coleman & Goggin	10	2016-07-11
Masuda, Funai, Eifert & Mitchell, LTD	10	2016-07-07
Mayer Brown LLP	4	2016-07-12
McCarter & English	7	2016-07-11
McConnaughhay, Coonrod	10	2016-07-08
McCormick Barstow LLP	10	2016-07-07
McDermott Will & Emery LLP	4	2016-07-12
McDonald Hopkins LLC	10	2016-07-11
McElroy, Deutsch, Mulvaney & Carpenter LLP	4	2016-07-11
McGivney & Kluger, P.C.	10	2016-07-07
McGlinchey Stafford	10	2016-07-07
McGuireWoods LLP	4	2016-07-11
McNees Wallace & Nurick	10	2016-07-07
Merchant & Gould LLC	10	2016-07-07
Meyer, Suozzi, English & Klein, P.C.	10	2016-07-11
Meyers, Nave	10	2016-07-11
Michael Best & Friedrich LLP	10	2016-07-07
Milbank, Tweed, Hadley & McCloy LLP	4	2016-07-11
Milberg LLP	10	2016-07-07
Miles & Stockbridge PC	10	2016-07-11
Miller & Martin PLLC	10	2016-07-11
Miller Canfield	10	2016-07-07
Miller Nash	10	2016-07-07
Miller Starr Regalia	10	2016-07-07
Mintz, Levin, Cohn, Ferris, Glovsky and Popeo P.C.	4	2016-07-11
Mirick O Connell	10	2016-07-11
Mitchell Silberberg & Knupp LLP	10	2016-07-07
Moore & Van Allen PLLC	10	2016-07-07
Morgan, Lewis & Bockius LLP	4	2016-07-11
Morris James LLP	10	2016-07-11
Morris, Manning & Martin	10	2016-07-07
Morrison & Foerster LLP	4	2016-07-11
Morrison Mahoney LLP	7	2016-07-07
Morse, Barnes-Brown & Pendleton, P.C.	10	2016-07-07
Moses & Singer LLP	10	2016-07-07
Motley Rice LLC	10	2016-07-11
Murtha Cullina	10	2016-07-11
Neal, Gerber & Eisenberg LLP	10	2016-07-07
Nelson Mullins Riley & Scarborough	4	2016-07-11
Newmeyer & Dillion LLP	10	2016-07-11
Nexsen Pruet LLC	10	2016-07-07
Nilan Johnson Lewis PA	10	2016-07-07
Niles, Barton & Wilmer, LLP	10	2016-07-07
Nixon Peabody LLP	4	2016-07-11
Norris McLaughlin & Marcus	10	2016-07-07
Norton Rose Fulbright	4	2016-07-11
Nossaman LLP	10	2016-07-11
Novak Druce Connolly Bove & Quigg LLP	10	2016-07-07
Nutter McClennen & Fish LLP	7	2016-07-07
O Melveny & Myers LLP	4	2016-07-11
Ober Kaler	10	2016-07-11
Obermayer Rebmann Maxwell & Hippel LLP	10	2016-07-07
Oblon, McClelland, Maier & Neustadt, L.L.P.	10	2016-07-07
Ogletree Deakins	10	2016-07-11
Olshan	10	2016-07-07
Olswang	10	2016-07-11
Orrick, Herrington & Sutcliffe LLP	4	2016-07-11
Otten Johnson Robinson Neff & Ragonetti PC	10	2016-07-07
Outten & Golden LLP	10	2016-07-07
Parker Hudson Rainer & Dobbs LLP	10	2016-07-07
Parker Poe Adams	10	2016-07-07
Paul Hastings LLP	4	2016-07-11
Paul, Weiss, Rifkind, Wharton & Garrison LLP	4	2016-07-11
Penningtons Solicitors LLP	10	2016-07-11
Pepper Hamilton LLP	4	2016-07-11
Perkins Coie	4	2016-07-11
Phelps Dunbar LLP	10	2016-07-07
Phillips Lytle	7	2016-07-07
Pierce Atwood LLP	10	2016-07-07
Pietragallo	10	2016-07-07
Pillsbury Winthrop Shaw Pittman LLP	4	2016-07-11
Pinsent Masons	10	2016-07-11
Polsinelli PC	10	2016-07-07
Porzio Bromberg & Newman	10	2016-07-07
Post & Schell	10	2016-07-07
Poyner Spruill	10	2016-07-07
Preti Flaherty	10	2016-07-07
Procopio, Cory, Hargreaves & Savitch LLP	10	2016-07-07
Pryor Cashman LLP	10	2016-07-07
Quarles & Brady LLP	4	2016-07-12
R. E. Bushnell & Law Firm	10	2016-07-11
Rawle & Henderson LLP	10	2016-07-07
Reed Smith LLP	4	2016-07-11
Richards Kibbe & Orbe LLP	10	2016-07-07
Richards Layton	10	2016-07-11
Richards, Watson & Gershon	10	2016-07-07
Riker Danzig	10	2016-07-11
Rivkin Radler	10	2016-07-11
Robins Kaplan LLP	10	2016-07-07
Robinson & Cole	4	2016-07-11
Ropers Majeski Kohn & Bentley	10	2016-07-07
Ropes & Gray LLP	4	2016-07-11
Rosenberg Martin Greenberg, LLP	10	2016-07-07
Rothwell, Figg, Ernst & Manbeck PC	10	2016-07-07
Rutan & Tucker, LLP	10	2016-07-07
Sacks Tierney P.A.	10	2016-07-07
Saiber LLC	10	2016-07-07
Sands Anderson	10	2016-07-07
Saul Ewing LLP	10	2016-07-07
Schenck, Price, Smith & King, LLP	10	2016-07-11
Schiff Hardin LLP	4	2016-07-11
Schnader	10	2016-07-07
Schwabe Williamson & Wyatt	10	2016-07-07
Schwegman, Lundberg & Woessner P.A.	10	2016-07-07
Sedgwick LLP	7	2016-07-07
Segal McCambridge Singer & Mahoney	10	2016-07-07
Selman Breitman LLP	10	2016-07-07
Senn Visciano Canges P.C.	10	2016-07-07
Sessions, Fishman, Nathan & Israel, LLP	10	2016-07-11
Seyfarth Shaw LLP	4	2016-07-11
Shartsis Friese LLP	10	2016-07-07
Sheppard, Mullin, Richter & Hampton LLP	6	2016-07-07
Sherman & Howard	10	2016-07-11
Shipman & Goodwin LLP	7	2016-07-07
Shook, Hardy & Bacon LLP	10	2016-07-11
Shulman Rogers	10	2016-07-11
Shumaker Loop and Kendrick LLP	10	2016-07-07
Shutts & Bowen	10	2016-07-07
Siegel O Connor	10	2016-07-07
Sills Cummis & Gross	10	2016-07-07
Simmons & Simmons	10	2016-07-08
Skadden, Arps, Slate, Meagher & Flom LLP	4	2016-07-11
Snell & Wilmer LLP	6	2016-07-11
Speechly Bircham	10	2016-07-11
Spencer Fane	10	2016-07-11
Spiegel & McDiarmid	10	2016-07-07
Squire Patton Boggs	4	2016-07-11
Stark & Stark	4	2016-07-11
Stearns Weaver Miller	10	2016-07-07
Steptoe & Johnson LLP	4	2016-07-12
Sterne Kessler Goldstein Fox	10	2016-07-07
Stinson Leonard Street LLP	7	2016-07-07
Stoel Rives	4	2016-07-11
Stradley Ronon	10	2016-07-11
Stradling Yocca Carlson & Rauth	10	2016-07-07
Strasburger	10	2016-07-11
Strauss & Troy	10	2016-07-07
Stroock & Stroock & Lavan LLP	7	2016-07-07
Sughrue Mion PLLC	10	2016-07-07
Sullivan & Worcester LLP	7	2016-07-07
Sunstein Kann Murphy & Timbers LLP	10	2016-07-07
Susman Godfrey L.L.P.	10	2016-07-07
Sutherland Asbill & Brennan LLP	4	2016-07-12
The Chugh Firm	10	2016-07-07
Thomas Thomas & Hafer LLP	10	2016-07-08
Thompson & Knight LLP	10	2016-07-07
Thompson Coburn LLP	10	2016-07-07
Thompson Hine LLP	10	2016-07-11
Thomson, Rhodes & Cowie, P.C.	10	2016-07-07
Todd & Weld	10	2016-07-07
Tonkon Torp	10	2016-07-07
Torys LLP	10	2016-07-07
Trenam Kemker	10	2016-07-07
Tressler LLP	10	2016-07-07
Troutman Sanders LLP	4	2016-07-11
Vandeventer Black LLP	10	2016-07-07
Varnum	10	2016-07-07
Vedder Price	4	2016-07-11
Venable LLP	4	2016-07-11
Verrill Dana LLP	10	2016-07-07
Vinson & Elkins LLP	7	2016-07-07
Volpe and Koenig PC	10	2016-07-07
Vorys, Sater, Seymour and Pease, LLP	7	2016-07-11
Waller Lansden Dortch & Davis	10	2016-07-11
Weaver Austin Villeneuve & Sampson LLP	10	2016-07-07
Weber Gallagher Simpson Stapleton Fires & Newby LLP	10	2016-07-07
Weil Gotshal & Manges LLP	4	2016-07-11
Weintraub Tobin	10	2016-07-07
Weissman Nowack Curry & Wilco PC	10	2016-07-07
Wendel Rosen Black & Dean LLP	10	2016-07-07
Whiteford, Taylor & Preston LLP	10	2016-07-07
Whiteman Osterman & Hanna LLP	10	2016-07-07
Wicker Smith	10	2016-07-11
Wiggin & Dana	7	2016-07-07
Wilentz, Goldman & Spitzer	10	2016-07-07
Wiley Rein LLP	10	2016-07-07
Williams Parker Harrison	10	2016-07-08
Williams, Mullen	10	2016-07-07
WilmerHale	4	2016-07-11
Wilson Sonsini Goodrich & Rosati	4	2016-07-11
Wilson, Elser, Moskowitz, Edelman & Dicker	4	2016-07-11
Winstead PC	4	2016-07-11
Winston & Strawn LLP	4	2016-07-11
Withers Worldwide	7	2016-07-07
Wolf Greenfield & Sacks PC	7	2016-07-07
Womble Carlyle Sandridge & Rice, LLP	7	2016-07-07
Wong Fleming PC	10	2016-07-07
Wood, Smith, Henning & Berman LLP	10	2016-07-07
Wyrick Robbins Yates & Ponton LLP	10	2016-07-07
Zuckerman, Spaeder LLP	10	2016-07-07
Anastasi & Associates, P.A.	10	2016-07-07
Anderson & Quinn, LLC	10	2016-07-07
Baker Manock & Jensen	10	2016-07-07
Blakely Sokoloff Taylor & Zafman LLP	10	2016-07-07
Briggs & Morgan	10	2016-07-07
Brown Rudnick LLP	4	2016-07-11
Buckingham, Doolittle & Burroughs	10	2016-07-07
Christie, Parker & Hale, LLP	10	2016-07-07
Chuhak & Tecson, P.C.	10	2016-07-07
Clapp Moroney	10	2016-07-07
Crowell & Moring LLP	7	2016-07-07
DeCotiis Fitzpatrick & Cole LLP	10	2016-07-07
Dickstein Shapiro LLP	10	2016-07-07
Dufford & Brown, P.C.	10	2016-07-07
Fabyanske Westra Hart & Thompson, P.A.	10	2016-07-07
Felhaber, Larson, Fenlon & Vogt	10	2016-07-07
Gardere Wynne Sewell LLP	10	2016-07-07
Glaser Weil Fink Jacobs Howard Avchen & Shapiro LLP	10	2016-07-07
Gonzalez Saggio & Harlan LLP	10	2016-07-07
Greenspoon Marder	10	2016-07-07
Halloran & Sage LLP	10	2016-07-07
Horack, Talley, Pharr & Lowndes	10	2016-07-07
Hyman, Phelps & McNamara P.C.	10	2016-07-07
Ireland Stapleton Pryor & Pascoe, PC	10	2016-07-07
Jackson Kelly PLLC	10	2016-07-07
Jackson Lewis PC	7	2016-07-07
Jaspan Schlesinger LLP	10	2016-07-07
Johnston, Allison & Hord, P.A.	10	2016-07-07
Katz Teller Brant & Hild	10	2016-07-07
Keker & Van Nest LLP	10	2016-07-07
Leonard, Street and Deinard	10	2016-07-07
Lerner David Littenberg Krumholz & Mentlik	10	2016-07-07
Lewis Roca Rothgerber LLP	10	2016-07-07
McDonald Carano Wilson LLP	10	2016-07-07
McDonnell Boehnen Hulbert & Berghoff LLP	10	2016-07-07
McGrann Shea Carnival Straughn & Lamb, Chartered	10	2016-07-07
Meagher & Geer, P.L.L.P.	10	2016-07-07
Miller & Chevalier	10	2016-07-07
Montgomery McCracken Walker & Rhoads, LLP	10	2016-07-07
Morris Polich & Purdy, LLP	10	2016-07-07
Munsch Hardt, Kopf & Harr PC	10	2016-07-07
Neuberger, Quinn, Gielen, Rubin & Gibber, P.A.	10	2016-07-07
Novak Druce & Quigg LLP	10	2016-07-07
Oppenheimer Wolff & Donnelly	10	2016-07-07
Porter Hedges LLP	10	2016-07-07
Posternak Blankstein & Lund LLP	10	2016-07-07
Prince Lobel	10	2016-07-07
Rackemann, Sawyer & Brewster	10	2016-07-07
Rogers & Hardin	10	2016-07-07
Seltzer Caplan McMahon Vitek	10	2016-07-07
Sher Garner Cahill Richter Klein & Hilbert, LLC	10	2016-07-07
Smith Gambrell & Russell LLP	10	2016-07-07
Spilman Thomas & Battle, PLLC	10	2016-07-07
Taft Stettinius & Hollister LLP	10	2016-07-07
Warner Norcross	10	2016-07-07
Wenderoth Lind & Ponack, LLP	10	2016-07-07
Wilbraham Lawler & Buba	10	2016-07-07
Wilkinson Barker Knauer, LLP	10	2016-07-07
Willman & Silvaggio	10	2016-07-07
